userName,score,at,content,content_casefold,cleaned,tokens,filtered,stemmed,preprocessed
Musa sannip,5,2025-10-02 22:27:19,game ya seru,game ya seru,game ya seru,"['game', 'ya', 'seru']","['game', 'seru']","['game', 'seru']",game seru
Rizky Yesyu,5,2025-10-02 22:14:35,Dilak coy,dilak coy,dilak coy,"['dilak', 'coy']","['dilak', 'coy']","['dilak', 'coy']",dilak coy
Andre Ardan,5,2025-10-02 21:50:25,permainan yang seru,permainan yang seru,permainan yang seru,"['permainan', 'yang', 'seru']","['permainan', 'seru']","['main', 'seru']",main seru
Lukman Hakim,5,2025-10-02 21:42:31,aplikasi saat bagus untuk para bocil dan seru,aplikasi saat bagus untuk para bocil dan seru,aplikasi saat bagus untuk para bocil dan seru,"['aplikasi', 'saat', 'bagus', 'untuk', 'para', 'bocil', 'dan', 'seru']","['aplikasi', 'bagus', 'bocil', 'seru']","['aplikasi', 'bagus', 'bocil', 'seru']",aplikasi bagus bocil seru
Kontol Burut12,1,2025-10-02 21:07:32,karna saya kasih bintang satu karena di game ini banyak masalah gerapik buruk terus banyak cit,karna saya kasih bintang satu karena di game ini banyak masalah gerapik buruk terus banyak cit,karna saya kasih bintang satu karena di game ini banyak masalah gerapik buruk terus banyak cit,"['karna', 'saya', 'kasih', 'bintang', 'satu', 'karena', 'di', 'game', 'ini', 'banyak', 'masalah', 'gerapik', 'buruk', 'terus', 'banyak', 'cit']","['karna', 'kasih', 'bintang', 'satu', 'game', 'banyak', 'masalah', 'gerapik', 'buruk', 'terus', 'banyak', 'cit']","['karna', 'kasih', 'bintang', 'satu', 'game', 'banyak', 'masalah', 'gerapik', 'buruk', 'terus', 'banyak', 'cit']",karna kasih bintang satu game banyak masalah gerapik buruk terus banyak cit
Aril Aril,5,2025-10-02 19:51:15,gem terbaik,gem terbaik,gem terbaik,"['gem', 'terbaik']","['gem', 'terbaik']","['gem', 'baik']",gem baik
reendi vendi,5,2025-10-02 18:51:56,sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']","['sangat', 'bagus']","['sangat', 'bagus']",sangat bagus
Iky,1,2025-10-02 18:44:16,panutan gw budi kalo emang lu udah benci sama dia gw bakal bikin rating 1 ni game,panutan gw budi kalo emang lu udah benci sama dia gw bakal bikin rating 1 ni game,panutan gw budi kalo emang lu udah benci sama dia gw bakal bikin rating ni game,"['panutan', 'gw', 'budi', 'kalo', 'emang', 'lu', 'udah', 'benci', 'sama', 'dia', 'gw', 'bakal', 'bikin', 'rating', 'ni', 'game']","['panutan', 'gw', 'budi', 'kalo', 'emang', 'lu', 'udah', 'benci', 'sama', 'gw', 'bakal', 'bikin', 'rating', 'ni', 'game']","['panutan', 'gw', 'budi', 'kalo', 'emang', 'lu', 'udah', 'benci', 'sama', 'gw', 'bakal', 'bikin', 'rating', 'ni', 'game']",panutan gw budi kalo emang lu udah benci sama gw bakal bikin rating ni game
Acil meikel,5,2025-10-02 18:13:27,"sangat baik, saya menyukainya","sangat baik, saya menyukainya",sangat baik saya menyukainya,"['sangat', 'baik', 'saya', 'menyukainya']","['sangat', 'baik', 'menyukainya']","['sangat', 'baik', 'suka']",sangat baik suka
Chen Sendra,5,2025-10-02 18:05:32,bagi akun ya bng udh aku kasi bintang tu,bagi akun ya bng udh aku kasi bintang tu,bagi akun ya bng udh aku kasi bintang tu,"['bagi', 'akun', 'ya', 'bng', 'udh', 'aku', 'kasi', 'bintang', 'tu']","['akun', 'bng', 'udh', 'aku', 'kasi', 'bintang', 'tu']","['akun', 'bng', 'udh', 'aku', 'kasi', 'bintang', 'tu']",akun bng udh aku kasi bintang tu
Tri Rohmanto Rohman,5,2025-10-02 18:03:25,asik,asik,asik,['asik'],['asik'],['asik'],asik
Eilish bert elyees Eilish,5,2025-10-02 17:58:15,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
Agung Triyadi,1,2025-10-02 17:48:05,oi akun gua itu benerin bodo nuggu muluu gem tolo lammaaaa,oi akun gua itu benerin bodo nuggu muluu gem tolo lammaaaa,oi akun gua itu benerin bodo nuggu muluu gem tolo lammaaaa,"['oi', 'akun', 'gua', 'itu', 'benerin', 'bodo', 'nuggu', 'muluu', 'gem', 'tolo', 'lammaaaa']","['oi', 'akun', 'gua', 'benerin', 'bodo', 'nuggu', 'muluu', 'gem', 'tolo', 'lammaaaa']","['oi', 'akun', 'gua', 'benerin', 'bodo', 'nuggu', 'muluu', 'gem', 'tolo', 'lammaaaa']",oi akun gua benerin bodo nuggu muluu gem tolo lammaaaa
Bot Grow,1,2025-10-02 16:31:51,💔💔💔💔,💔💔💔💔,,[],[],[],
Gayau Sjaji,5,2025-10-02 16:25:19,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
Mismo Surya prasaja,5,2025-10-02 16:22:14,Makasih sudah menemani masa kecil ku sekarang aku sudah lebih dewasa aku akan lebih fokus ke cita cita ku 👋👋,makasih sudah menemani masa kecil ku sekarang aku sudah lebih dewasa aku akan lebih fokus ke cita cita ku 👋👋,makasih sudah menemani masa kecil ku sekarang aku sudah lebih dewasa aku akan lebih fokus ke cita cita ku,"['makasih', 'sudah', 'menemani', 'masa', 'kecil', 'ku', 'sekarang', 'aku', 'sudah', 'lebih', 'dewasa', 'aku', 'akan', 'lebih', 'fokus', 'ke', 'cita', 'cita', 'ku']","['makasih', 'menemani', 'masa', 'kecil', 'ku', 'sekarang', 'aku', 'lebih', 'dewasa', 'aku', 'lebih', 'fokus', 'cita', 'cita', 'ku']","['makasih', 'tani', 'masa', 'kecil', 'ku', 'sekarang', 'aku', 'lebih', 'dewasa', 'aku', 'lebih', 'fokus', 'cita', 'cita', 'ku']",makasih tani masa kecil ku sekarang aku lebih dewasa aku lebih fokus cita cita ku
endi sopandi,5,2025-10-02 16:14:27,nyaman,nyaman,nyaman,['nyaman'],['nyaman'],['nyaman'],nyaman
Penok Ajja,5,2025-10-02 16:06:14,suka SE x....,suka se x....,suka se x,"['suka', 'se', 'x']","['suka', 'se', 'x']","['suka', 'se', 'x']",suka se x
Aris Werimon,5,2025-10-02 16:05:13,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap
mr hanns,5,2025-10-02 15:56:55,gw jadi makin gg ni comback epep,gw jadi makin gg ni comback epep,gw jadi makin gg ni comback epep,"['gw', 'jadi', 'makin', 'gg', 'ni', 'comback', 'epep']","['gw', 'jadi', 'makin', 'gg', 'ni', 'comback', 'epep']","['gw', 'jadi', 'makin', 'gg', 'ni', 'comback', 'epep']",gw jadi makin gg ni comback epep
KAMUNANYA Wkwk,1,2025-10-02 15:41:44,menurutku gem ini bagus tapi minusnya gak di kasih hoki dan banyak DARK sistem di cs.di BR,menurutku gem ini bagus tapi minusnya gak di kasih hoki dan banyak dark sistem di cs.di br,menurutku gem ini bagus tapi minusnya gak di kasih hoki dan banyak dark sistem di csdi br,"['menurutku', 'gem', 'ini', 'bagus', 'tapi', 'minusnya', 'gak', 'di', 'kasih', 'hoki', 'dan', 'banyak', 'dark', 'sistem', 'di', 'csdi', 'br']","['menurutku', 'gem', 'bagus', 'minusnya', 'gak', 'kasih', 'hoki', 'banyak', 'dark', 'sistem', 'csdi', 'br']","['turut', 'gem', 'bagus', 'minus', 'gak', 'kasih', 'hoki', 'banyak', 'dark', 'sistem', 'csdi', 'br']",turut gem bagus minus gak kasih hoki banyak dark sistem csdi br
Radiansa40 Radiansa40,5,2025-10-02 15:36:10,SERUUU,seruuu,seruuu,['seruuu'],['seruuu'],['seruuu'],seruuu
Dionisius Silalahi,1,2025-10-02 15:34:33,gua udah pensi gua udah dari 2019 main ini gem dan hari pertama gua kambek main ff di situ Garena kecewain aku. akun ff gua di bl sama Garena Sam kayak yg di alami bg Budi . cuman satu yg gua mau bilang kalau bukan karena bang Budi 01 gem ini inggak banyak yg minat main kan 😔,gua udah pensi gua udah dari 2019 main ini gem dan hari pertama gua kambek main ff di situ garena kecewain aku. akun ff gua di bl sama garena sam kayak yg di alami bg budi . cuman satu yg gua mau bilang kalau bukan karena bang budi 01 gem ini inggak banyak yg minat main kan 😔,gua udah pensi gua udah dari main ini gem dan hari pertama gua kambek main ff di situ garena kecewain aku akun ff gua di bl sama garena sam kayak yg di alami bg budi cuman satu yg gua mau bilang kalau bukan karena bang budi gem ini inggak banyak yg minat main kan,"['gua', 'udah', 'pensi', 'gua', 'udah', 'dari', 'main', 'ini', 'gem', 'dan', 'hari', 'pertama', 'gua', 'kambek', 'main', 'ff', 'di', 'situ', 'garena', 'kecewain', 'aku', 'akun', 'ff', 'gua', 'di', 'bl', 'sama', 'garena', 'sam', 'kayak', 'yg', 'di', 'alami', 'bg', 'budi', 'cuman', 'satu', 'yg', 'gua', 'mau', 'bilang', 'kalau', 'bukan', 'karena', 'bang', 'budi', 'gem', 'ini', 'inggak', 'banyak', 'yg', 'minat', 'main', 'kan']","['gua', 'udah', 'pensi', 'gua', 'udah', 'main', 'gem', 'hari', 'pertama', 'gua', 'kambek', 'main', 'ff', 'situ', 'garena', 'kecewain', 'aku', 'akun', 'ff', 'gua', 'bl', 'sama', 'garena', 'sam', 'kayak', 'yg', 'alami', 'bg', 'budi', 'cuman', 'satu', 'yg', 'gua', 'mau', 'bilang', 'kalau', 'bukan', 'bang', 'budi', 'gem', 'inggak', 'banyak', 'yg', 'minat', 'main', 'kan']","['gua', 'udah', 'pensi', 'gua', 'udah', 'main', 'gem', 'hari', 'pertama', 'gua', 'kambek', 'main', 'ff', 'situ', 'garena', 'kecewain', 'aku', 'akun', 'ff', 'gua', 'bl', 'sama', 'garena', 'sam', 'kayak', 'yg', 'alami', 'bg', 'budi', 'cuman', 'satu', 'yg', 'gua', 'mau', 'bilang', 'kalau', 'bukan', 'bang', 'budi', 'gem', 'inggak', 'banyak', 'yg', 'minat', 'main', 'kan']",gua udah pensi gua udah main gem hari pertama gua kambek main ff situ garena kecewain aku akun ff gua bl sama garena sam kayak yg alami bg budi cuman satu yg gua mau bilang kalau bukan bang budi gem inggak banyak yg minat main kan
Rido,5,2025-10-02 15:23:02,bagusss,bagusss,bagusss,['bagusss'],['bagusss'],['bagusss'],bagusss
Oryu Buulolo,5,2025-10-02 15:17:34,keren,keren,keren,['keren'],['keren'],['keren'],keren
Saprijal aja Aja,5,2025-10-02 15:14:31,sa sangat bagus,sa sangat bagus,sa sangat bagus,"['sa', 'sangat', 'bagus']","['sa', 'sangat', 'bagus']","['sa', 'sangat', 'bagus']",sa sangat bagus
stokkk Evooo256,1,2025-10-02 15:11:43,"bug damage gak ngotak, bikin males main🥱","bug damage gak ngotak, bikin males main🥱",bug damage gak ngotak bikin males main,"['bug', 'damage', 'gak', 'ngotak', 'bikin', 'males', 'main']","['bug', 'damage', 'gak', 'ngotak', 'bikin', 'males', 'main']","['bug', 'damage', 'gak', 'ngotak', 'bikin', 'males', 'main']",bug damage gak ngotak bikin males main
Bang Dugut,1,2025-10-02 15:10:29,game nya jelek,game nya jelek,game nya jelek,"['game', 'nya', 'jelek']","['game', 'nya', 'jelek']","['game', 'nya', 'jelek']",game nya jelek
Al Pais,5,2025-10-02 15:01:10,Oke,oke,oke,['oke'],['oke'],['oke'],oke
angel Silahi,5,2025-10-02 15:01:10,NICE,nice,nice,['nice'],['nice'],['nice'],nice
YUDA 1,1,2025-10-02 14:57:47,teman bot semua,teman bot semua,teman bot semua,"['teman', 'bot', 'semua']","['teman', 'bot', 'semua']","['teman', 'bot', 'semua']",teman bot semua
Rian Ilyasa,5,2025-10-02 14:52:12,salam tetap gak ada pintu SALAM BURIKKKK,salam tetap gak ada pintu salam burikkkk,salam tetap gak ada pintu salam burikkkk,"['salam', 'tetap', 'gak', 'ada', 'pintu', 'salam', 'burikkkk']","['salam', 'tetap', 'gak', 'pintu', 'salam', 'burikkkk']","['salam', 'tetap', 'gak', 'pintu', 'salam', 'burikkkk']",salam tetap gak pintu salam burikkkk
Dimas,5,2025-10-02 14:51:10,manatapp garena bagi akun dong,manatapp garena bagi akun dong,manatapp garena bagi akun dong,"['manatapp', 'garena', 'bagi', 'akun', 'dong']","['manatapp', 'garena', 'akun', 'dong']","['manatapp', 'garena', 'akun', 'dong']",manatapp garena akun dong
Frengki Cipeng,1,2025-10-02 14:49:20,game payah,game payah,game payah,"['game', 'payah']","['game', 'payah']","['game', 'payah']",game payah
Aifen lowen,1,2025-10-02 14:45:17,"benerin game lu nih, makin hari makin menjadi-jadi yang gak pake chit di ban yang pake Chet gak di ban game apa ini kek gak ada yang urus lu baca lu liat apa keluhan kami sebagai proplyer atau yang main game yang lu buat kalo gini terus mending hapus aja game ini dari play store.","benerin game lu nih, makin hari makin menjadi-jadi yang gak pake chit di ban yang pake chet gak di ban game apa ini kek gak ada yang urus lu baca lu liat apa keluhan kami sebagai proplyer atau yang main game yang lu buat kalo gini terus mending hapus aja game ini dari play store.",benerin game lu nih makin hari makin menjadijadi yang gak pake chit di ban yang pake chet gak di ban game apa ini kek gak ada yang urus lu baca lu liat apa keluhan kami sebagai proplyer atau yang main game yang lu buat kalo gini terus mending hapus aja game ini dari play store,"['benerin', 'game', 'lu', 'nih', 'makin', 'hari', 'makin', 'menjadijadi', 'yang', 'gak', 'pake', 'chit', 'di', 'ban', 'yang', 'pake', 'chet', 'gak', 'di', 'ban', 'game', 'apa', 'ini', 'kek', 'gak', 'ada', 'yang', 'urus', 'lu', 'baca', 'lu', 'liat', 'apa', 'keluhan', 'kami', 'sebagai', 'proplyer', 'atau', 'yang', 'main', 'game', 'yang', 'lu', 'buat', 'kalo', 'gini', 'terus', 'mending', 'hapus', 'aja', 'game', 'ini', 'dari', 'play', 'store']","['benerin', 'game', 'lu', 'nih', 'makin', 'hari', 'makin', 'menjadijadi', 'gak', 'pake', 'chit', 'ban', 'pake', 'chet', 'gak', 'ban', 'game', 'apa', 'kek', 'gak', 'urus', 'lu', 'baca', 'lu', 'liat', 'apa', 'keluhan', 'proplyer', 'main', 'game', 'lu', 'buat', 'kalo', 'gini', 'terus', 'mending', 'hapus', 'aja', 'game', 'play', 'store']","['benerin', 'game', 'lu', 'nih', 'makin', 'hari', 'makin', 'menjadijadi', 'gak', 'pake', 'chit', 'ban', 'pake', 'chet', 'gak', 'ban', 'game', 'apa', 'kek', 'gak', 'urus', 'lu', 'baca', 'lu', 'liat', 'apa', 'keluh', 'proplyer', 'main', 'game', 'lu', 'buat', 'kalo', 'gin', 'terus', 'mending', 'hapus', 'aja', 'game', 'play', 'store']",benerin game lu nih makin hari makin menjadijadi gak pake chit ban pake chet gak ban game apa kek gak urus lu baca lu liat apa keluh proplyer main game lu buat kalo gin terus mending hapus aja game play store
IRIANA Ana,5,2025-10-02 14:42:14,gem seru kualitas bagus,gem seru kualitas bagus,gem seru kualitas bagus,"['gem', 'seru', 'kualitas', 'bagus']","['gem', 'seru', 'kualitas', 'bagus']","['gem', 'seru', 'kualitas', 'bagus']",gem seru kualitas bagus
Kartika kim,1,2025-10-02 14:34:17,"𝒑𝒂𝒓𝒂𝒉 𝒖𝒅𝒉 𝒔𝒆𝒎𝒊𝒏𝒈𝒈𝒖𝒂𝒏 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒌𝒖𝒏𝒊𝒏𝒈 𝒎𝒖𝒍𝒖 𝟑𝟎𝟎+ 𝒎𝒖𝒍𝒖.. 𝒃𝒊𝒌𝒊𝒏 𝒆𝒎𝒐𝒔𝒊 𝒎𝒂𝒊𝒏 𝒏𝒚𝒂.. 𝒑𝒂𝒅𝒂𝒉𝒂𝒍 𝒑𝒂𝒌𝒂𝒊 𝒘𝒊𝒇𝒊, 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒋𝒈 𝒃𝒂𝒊𝒌, 𝒊𝒏𝒊 𝒚𝒈 𝒔𝒂𝒍𝒂𝒉 𝒅𝒊𝒎𝒏𝒂 𝒚𝒂𝒂.. 𝒔𝒂𝒎𝒑𝒆 𝒂𝒒 𝒉𝒂𝒑𝒖𝒔𝟐𝒊𝒏, 𝒓𝒆𝒔𝒕𝒂𝒓𝒕 𝒃𝒆𝒓𝒌𝒂𝒍𝒊𝟐 𝒕𝒆𝒕𝒆𝒑 𝒃𝒊𝒌𝒊𝒏 𝒌𝒆𝒔𝒆𝒍 𝒌𝒂𝒓𝒆𝒏𝒂 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒕𝒊𝒃𝒂𝟐 𝒏𝒂𝒊𝒌 ... 𝒕𝒐𝒍𝒐𝒏𝒈 𝒍𝒂𝒉","𝒑𝒂𝒓𝒂𝒉 𝒖𝒅𝒉 𝒔𝒆𝒎𝒊𝒏𝒈𝒈𝒖𝒂𝒏 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒌𝒖𝒏𝒊𝒏𝒈 𝒎𝒖𝒍𝒖 𝟑𝟎𝟎+ 𝒎𝒖𝒍𝒖.. 𝒃𝒊𝒌𝒊𝒏 𝒆𝒎𝒐𝒔𝒊 𝒎𝒂𝒊𝒏 𝒏𝒚𝒂.. 𝒑𝒂𝒅𝒂𝒉𝒂𝒍 𝒑𝒂𝒌𝒂𝒊 𝒘𝒊𝒇𝒊, 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒋𝒈 𝒃𝒂𝒊𝒌, 𝒊𝒏𝒊 𝒚𝒈 𝒔𝒂𝒍𝒂𝒉 𝒅𝒊𝒎𝒏𝒂 𝒚𝒂𝒂.. 𝒔𝒂𝒎𝒑𝒆 𝒂𝒒 𝒉𝒂𝒑𝒖𝒔𝟐𝒊𝒏, 𝒓𝒆𝒔𝒕𝒂𝒓𝒕 𝒃𝒆𝒓𝒌𝒂𝒍𝒊𝟐 𝒕𝒆𝒕𝒆𝒑 𝒃𝒊𝒌𝒊𝒏 𝒌𝒆𝒔𝒆𝒍 𝒌𝒂𝒓𝒆𝒏𝒂 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒕𝒊𝒃𝒂𝟐 𝒏𝒂𝒊𝒌 ... 𝒕𝒐𝒍𝒐𝒏𝒈 𝒍𝒂𝒉",,[],[],[],
Mas Cungkring,5,2025-10-02 14:34:04,"sangat bagus, tapi sayang banyak yang ngechit","sangat bagus, tapi sayang banyak yang ngechit",sangat bagus tapi sayang banyak yang ngechit,"['sangat', 'bagus', 'tapi', 'sayang', 'banyak', 'yang', 'ngechit']","['sangat', 'bagus', 'sayang', 'banyak', 'ngechit']","['sangat', 'bagus', 'sayang', 'banyak', 'ngechit']",sangat bagus sayang banyak ngechit
Rafka Putra,1,2025-10-02 14:22:14,kocak orang gak salah apa² di bl game rusak,kocak orang gak salah apa² di bl game rusak,kocak orang gak salah apa di bl game rusak,"['kocak', 'orang', 'gak', 'salah', 'apa', 'di', 'bl', 'game', 'rusak']","['kocak', 'orang', 'gak', 'salah', 'apa', 'bl', 'game', 'rusak']","['kocak', 'orang', 'gak', 'salah', 'apa', 'bl', 'game', 'rusak']",kocak orang gak salah apa bl game rusak
Rafi Celyn,1,2025-10-02 14:10:02,Jelek,jelek,jelek,['jelek'],['jelek'],['jelek'],jelek
Herda Gamer,5,2025-10-02 14:09:45,"sebaik""nya lebih baik ketika kita mendapatkan sebuah hadiah dri seseorang pembuat gamenya sendiri","sebaik""nya lebih baik ketika kita mendapatkan sebuah hadiah dri seseorang pembuat gamenya sendiri",sebaiknya lebih baik ketika kita mendapatkan sebuah hadiah dri seseorang pembuat gamenya sendiri,"['sebaiknya', 'lebih', 'baik', 'ketika', 'kita', 'mendapatkan', 'sebuah', 'hadiah', 'dri', 'seseorang', 'pembuat', 'gamenya', 'sendiri']","['sebaiknya', 'lebih', 'baik', 'mendapatkan', 'sebuah', 'hadiah', 'dri', 'seseorang', 'pembuat', 'gamenya', 'sendiri']","['baik', 'lebih', 'baik', 'dapat', 'buah', 'hadiah', 'dri', 'orang', 'buat', 'gamenya', 'sendiri']",baik lebih baik dapat buah hadiah dri orang buat gamenya sendiri
Prince azzami Pramesta,5,2025-10-02 14:07:38,"oy min, sg trouble nya kapan keluar yang permanen?","oy min, sg trouble nya kapan keluar yang permanen?",oy min sg trouble nya kapan keluar yang permanen,"['oy', 'min', 'sg', 'trouble', 'nya', 'kapan', 'keluar', 'yang', 'permanen']","['oy', 'min', 'sg', 'trouble', 'nya', 'kapan', 'keluar', 'permanen']","['oy', 'min', 'sg', 'trouble', 'nya', 'kapan', 'keluar', 'permanen']",oy min sg trouble nya kapan keluar permanen
ÊVÎŁツSH ÐØW Z,1,2025-10-02 14:07:22,"sumpah gm ya bagus banget playernya juga baik"" Peh aku kasih reting 5-4 sangking bagus nya","sumpah gm ya bagus banget playernya juga baik"" peh aku kasih reting 5-4 sangking bagus nya",sumpah gm ya bagus banget playernya juga baik peh aku kasih reting sangking bagus nya,"['sumpah', 'gm', 'ya', 'bagus', 'banget', 'playernya', 'juga', 'baik', 'peh', 'aku', 'kasih', 'reting', 'sangking', 'bagus', 'nya']","['sumpah', 'gm', 'bagus', 'banget', 'playernya', 'baik', 'peh', 'aku', 'kasih', 'reting', 'sangking', 'bagus', 'nya']","['sumpah', 'gm', 'bagus', 'banget', 'playernya', 'baik', 'peh', 'aku', 'kasih', 'reting', 'sangking', 'bagus', 'nya']",sumpah gm bagus banget playernya baik peh aku kasih reting sangking bagus nya
Atjwar mbejux,1,2025-10-02 14:06:10,awal sisen pasti ngelagggg cs atau br sama aja gimana ini Garena udah pakai data tetap ngelaggg pakai wifi sama aja gimana ini Garena woiiii tolongg apa aku terlalu jago ya Garena tahik lak 😭😭😭,awal sisen pasti ngelagggg cs atau br sama aja gimana ini garena udah pakai data tetap ngelaggg pakai wifi sama aja gimana ini garena woiiii tolongg apa aku terlalu jago ya garena tahik lak 😭😭😭,awal sisen pasti ngelagggg cs atau br sama aja gimana ini garena udah pakai data tetap ngelaggg pakai wifi sama aja gimana ini garena woiiii tolongg apa aku terlalu jago ya garena tahik lak,"['awal', 'sisen', 'pasti', 'ngelagggg', 'cs', 'atau', 'br', 'sama', 'aja', 'gimana', 'ini', 'garena', 'udah', 'pakai', 'data', 'tetap', 'ngelaggg', 'pakai', 'wifi', 'sama', 'aja', 'gimana', 'ini', 'garena', 'woiiii', 'tolongg', 'apa', 'aku', 'terlalu', 'jago', 'ya', 'garena', 'tahik', 'lak']","['awal', 'sisen', 'ngelagggg', 'cs', 'br', 'sama', 'aja', 'gimana', 'garena', 'udah', 'pakai', 'data', 'tetap', 'ngelaggg', 'pakai', 'wifi', 'sama', 'aja', 'gimana', 'garena', 'woiiii', 'tolongg', 'apa', 'aku', 'terlalu', 'jago', 'garena', 'tahik', 'lak']","['awal', 'sisen', 'ngelagggg', 'cs', 'br', 'sama', 'aja', 'gimana', 'garena', 'udah', 'pakai', 'data', 'tetap', 'ngelaggg', 'pakai', 'wifi', 'sama', 'aja', 'gimana', 'garena', 'woiiii', 'tolongg', 'apa', 'aku', 'terlalu', 'jago', 'garena', 'tahik', 'lak']",awal sisen ngelagggg cs br sama aja gimana garena udah pakai data tetap ngelaggg pakai wifi sama aja gimana garena woiiii tolongg apa aku terlalu jago garena tahik lak
Haidar,5,2025-10-02 14:05:52,siapa yg buat kasih diamond,siapa yg buat kasih diamond,siapa yg buat kasih diamond,"['siapa', 'yg', 'buat', 'kasih', 'diamond']","['siapa', 'yg', 'buat', 'kasih', 'diamond']","['siapa', 'yg', 'buat', 'kasih', 'diamond']",siapa yg buat kasih diamond
Fatihr Ardiansha putera,1,2025-10-02 13:58:07,permainan buruk,permainan buruk,permainan buruk,"['permainan', 'buruk']","['permainan', 'buruk']","['main', 'buruk']",main buruk
M david M david sepriansyah,5,2025-10-02 13:49:43,firefire adalh gem yg seru dan paling baguss ayo garena terus semangat untuk mengabdet setiap seson firefire!!,firefire adalh gem yg seru dan paling baguss ayo garena terus semangat untuk mengabdet setiap seson firefire!!,firefire adalh gem yg seru dan paling baguss ayo garena terus semangat untuk mengabdet setiap seson firefire,"['firefire', 'adalh', 'gem', 'yg', 'seru', 'dan', 'paling', 'baguss', 'ayo', 'garena', 'terus', 'semangat', 'untuk', 'mengabdet', 'setiap', 'seson', 'firefire']","['firefire', 'adalh', 'gem', 'yg', 'seru', 'paling', 'baguss', 'ayo', 'garena', 'terus', 'semangat', 'mengabdet', 'seson', 'firefire']","['firefire', 'adalh', 'gem', 'yg', 'seru', 'paling', 'baguss', 'ayo', 'garena', 'terus', 'semangat', 'mengabdet', 'seson', 'firefire']",firefire adalh gem yg seru paling baguss ayo garena terus semangat mengabdet seson firefire
Zhakariya78 Z-78,5,2025-10-02 13:40:39,FF emang keren banget bisa dapat kan bandel gratis,ff emang keren banget bisa dapat kan bandel gratis,ff emang keren banget bisa dapat kan bandel gratis,"['ff', 'emang', 'keren', 'banget', 'bisa', 'dapat', 'kan', 'bandel', 'gratis']","['ff', 'emang', 'keren', 'banget', 'kan', 'bandel', 'gratis']","['ff', 'emang', 'keren', 'banget', 'kan', 'bandel', 'gratis']",ff emang keren banget kan bandel gratis
Adib Kajen,1,2025-10-02 13:39:47,gelarena kenapa bayak cit,gelarena kenapa bayak cit,gelarena kenapa bayak cit,"['gelarena', 'kenapa', 'bayak', 'cit']","['gelarena', 'bayak', 'cit']","['gelarena', 'bayak', 'cit']",gelarena bayak cit
Faizal Septriansyah,1,2025-10-02 13:38:28,tolong kembalikan jaman 2019😟,tolong kembalikan jaman 2019😟,tolong kembalikan jaman,"['tolong', 'kembalikan', 'jaman']","['kembalikan', 'jaman']","['kembali', 'jaman']",kembali jaman
Rapi Amasah,5,2025-10-02 13:35:19,game bagus,game bagus,game bagus,"['game', 'bagus']","['game', 'bagus']","['game', 'bagus']",game bagus
Andre Yesaya,3,2025-10-02 13:33:09,game seru tapi gak kasih D,game seru tapi gak kasih d,game seru tapi gak kasih d,"['game', 'seru', 'tapi', 'gak', 'kasih', 'd']","['game', 'seru', 'gak', 'kasih', 'd']","['game', 'seru', 'gak', 'kasih', 'd']",game seru gak kasih d
Nizam,1,2025-10-02 13:30:51,"sinyal nya tolong diperbaiki, karena dibuat scroll atau lainnya lancar tapi pas main jadi jelek","sinyal nya tolong diperbaiki, karena dibuat scroll atau lainnya lancar tapi pas main jadi jelek",sinyal nya tolong diperbaiki karena dibuat scroll atau lainnya lancar tapi pas main jadi jelek,"['sinyal', 'nya', 'tolong', 'diperbaiki', 'karena', 'dibuat', 'scroll', 'atau', 'lainnya', 'lancar', 'tapi', 'pas', 'main', 'jadi', 'jelek']","['sinyal', 'nya', 'diperbaiki', 'dibuat', 'scroll', 'lainnya', 'lancar', 'pas', 'main', 'jadi', 'jelek']","['sinyal', 'nya', 'baik', 'buat', 'scroll', 'lain', 'lancar', 'pas', 'main', 'jadi', 'jelek']",sinyal nya baik buat scroll lain lancar pas main jadi jelek
Alim Agus,5,2025-10-02 13:30:30,karena game ini asik,karena game ini asik,karena game ini asik,"['karena', 'game', 'ini', 'asik']","['game', 'asik']","['game', 'asik']",game asik
Roni Syahputra,4,2025-10-02 13:30:10,saya sangat suka,saya sangat suka,saya sangat suka,"['saya', 'sangat', 'suka']","['sangat', 'suka']","['sangat', 'suka']",sangat suka
Fitri Saja,5,2025-10-02 13:30:00,ff sekarang bagusss💯,ff sekarang bagusss💯,ff sekarang bagusss,"['ff', 'sekarang', 'bagusss']","['ff', 'sekarang', 'bagusss']","['ff', 'sekarang', 'bagusss']",ff sekarang bagusss
Ivander Raka,5,2025-10-02 13:28:46,seru banget rasanya seneng,seru banget rasanya seneng,seru banget rasanya seneng,"['seru', 'banget', 'rasanya', 'seneng']","['seru', 'banget', 'rasanya', 'seneng']","['seru', 'banget', 'rasa', 'neng']",seru banget rasa neng
