userName,score,at,content,content_casefold,cleaned,tokens,filtered,stemmed,preprocessed,Normalisasi,No_Duplikat,Bersih,Bersih_Token,Unigram,Bigram,Trigram,Bigram_Filtered,Bersih_NoStop
Kareem Holt,5,2025-10-03 11:25:58,keren,keren,keren,['keren'],['keren'],['keren'],keren,keren,keren,keren,['keren'],"[('keren',)]",[],[],[],keren
Sovia Oktavia,3,2025-10-03 11:25:55,sering terjadinya bug banyak cit/file,sering terjadinya bug banyak cit/file,sering terjadinya bug banyak citfile,"['sering', 'terjadinya', 'bug', 'banyak', 'citfile']","['sering', 'terjadinya', 'bug', 'banyak', 'citfile']","['sering', 'jadi', 'bug', 'banyak', 'citfile']",sering jadi bug banyak citfile,sering jadi bug banyak citfile,sering jadi bug banyak citfile,sering jadi bug banyak citfile,"['sering', 'jadi', 'bug', 'banyak', 'citfile']","[('sering',), ('jadi',), ('bug',), ('banyak',), ('citfile',)]","[('sering', 'jadi'), ('jadi', 'bug'), ('bug', 'banyak'), ('banyak', 'citfile')]","[('sering', 'jadi', 'bug'), ('jadi', 'bug', 'banyak'), ('bug', 'banyak', 'citfile')]","[('sering', 'jadi'), ('jadi', 'bug'), ('bug', 'banyak'), ('banyak', 'citfile')]",sering jadi bug banyak citfile
ALIF Tai,5,2025-10-03 11:25:34,mimin garena aku pengen akun ff akun ku ko si ban,mimin garena aku pengen akun ff akun ku ko si ban,mimin garena aku pengen akun ff akun ku ko si ban,"['mimin', 'garena', 'aku', 'pengen', 'akun', 'ff', 'akun', 'ku', 'ko', 'si', 'ban']","['mimin', 'garena', 'aku', 'pengen', 'akun', 'ff', 'akun', 'ku', 'ko', 'si', 'ban']","['mimin', 'garena', 'aku', 'ken', 'akun', 'ff', 'akun', 'ku', 'ko', 'si', 'ban']",mimin garena aku ken akun ff akun ku ko si ban,mimin garena saya ken akun freefire akun ku ko si ban,mimin garena saya ken akun freefire ku ko si ban,mimin garena saya ken akun freefire ban,"['mimin', 'garena', 'saya', 'ken', 'akun', 'freefire', 'ban']","[('mimin',), ('garena',), ('saya',), ('ken',), ('akun',), ('freefire',), ('ban',)]","[('mimin', 'garena'), ('garena', 'saya'), ('saya', 'ken'), ('ken', 'akun'), ('akun', 'freefire'), ('freefire', 'ban')]","[('mimin', 'garena', 'saya'), ('garena', 'saya', 'ken'), ('saya', 'ken', 'akun'), ('ken', 'akun', 'freefire'), ('akun', 'freefire', 'ban')]","[('mimin', 'garena'), ('garena', 'saya'), ('saya', 'ken'), ('ken', 'akun'), ('akun', 'freefire'), ('freefire', 'ban')]",mimin garena saya ken akun freefire ban
Budevi,5,2025-10-03 11:16:25,diamon,diamon,diamon,['diamon'],['diamon'],['diamon'],diamon,berlian,berlian,berlian,['berlian'],"[('berlian',)]",[],[],[],berlian
fadli setiawan,1,2025-10-03 11:12:26,"game nya aneh bet, padahal sinyal nya bagus malah lag di ff nya apa coba, terus lag sinyalnya warna putih,terus kebanyakan orang troll atau bocil drak system jdi mls main ff lg","game nya aneh bet, padahal sinyal nya bagus malah lag di ff nya apa coba, terus lag sinyalnya warna putih,terus kebanyakan orang troll atau bocil drak system jdi mls main ff lg",game nya aneh bet padahal sinyal nya bagus malah lag di ff nya apa coba terus lag sinyalnya warna putihterus kebanyakan orang troll atau bocil drak system jdi mls main ff lg,"['game', 'nya', 'aneh', 'bet', 'padahal', 'sinyal', 'nya', 'bagus', 'malah', 'lag', 'di', 'ff', 'nya', 'apa', 'coba', 'terus', 'lag', 'sinyalnya', 'warna', 'putihterus', 'kebanyakan', 'orang', 'troll', 'atau', 'bocil', 'drak', 'system', 'jdi', 'mls', 'main', 'ff', 'lg']","['game', 'nya', 'aneh', 'bet', 'padahal', 'sinyal', 'nya', 'bagus', 'malah', 'lag', 'ff', 'nya', 'apa', 'coba', 'terus', 'lag', 'sinyalnya', 'warna', 'putihterus', 'kebanyakan', 'orang', 'troll', 'bocil', 'drak', 'system', 'jdi', 'mls', 'main', 'ff', 'lg']","['game', 'nya', 'aneh', 'bet', 'padahal', 'sinyal', 'nya', 'bagus', 'malah', 'lag', 'ff', 'nya', 'apa', 'coba', 'terus', 'lag', 'sinyal', 'warna', 'putihterus', 'banyak', 'orang', 'troll', 'bocil', 'drak', 'system', 'jdi', 'mls', 'main', 'ff', 'lg']",game nya aneh bet padahal sinyal nya bagus malah lag ff nya apa coba terus lag sinyal warna putihterus banyak orang troll bocil drak system jdi mls main ff lg,permainan nya aneh bet padahal sinyal nya bagus malah lambat freefire nya apa coba lalu lambat sinyal warna putihterus banyak orang troll bocil drak system jdi mls main freefire lagi,permainan nya aneh bet padahal sinyal bagus malah lambat freefire apa coba lalu warna putihterus banyak orang troll bocil drak system jdi mls main lagi,permainan nya aneh bet padahal sinyal bagus malah lambat freefire apa coba lalu warna putihterus banyak orang troll bocil drak system jdi mls main lagi,"['permainan', 'nya', 'aneh', 'bet', 'padahal', 'sinyal', 'bagus', 'malah', 'lambat', 'freefire', 'apa', 'coba', 'lalu', 'warna', 'putihterus', 'banyak', 'orang', 'troll', 'bocil', 'drak', 'system', 'jdi', 'mls', 'main', 'lagi']","[('permainan',), ('nya',), ('aneh',), ('bet',), ('padahal',), ('sinyal',), ('bagus',), ('malah',), ('lambat',), ('freefire',), ('apa',), ('coba',), ('lalu',), ('warna',), ('putihterus',), ('banyak',), ('orang',), ('troll',), ('bocil',), ('drak',), ('system',), ('jdi',), ('mls',), ('main',), ('lagi',)]","[('permainan', 'nya'), ('nya', 'aneh'), ('aneh', 'bet'), ('bet', 'padahal'), ('padahal', 'sinyal'), ('sinyal', 'bagus'), ('bagus', 'malah'), ('malah', 'lambat'), ('lambat', 'freefire'), ('freefire', 'apa'), ('apa', 'coba'), ('coba', 'lalu'), ('lalu', 'warna'), ('warna', 'putihterus'), ('putihterus', 'banyak'), ('banyak', 'orang'), ('orang', 'troll'), ('troll', 'bocil'), ('bocil', 'drak'), ('drak', 'system'), ('system', 'jdi'), ('jdi', 'mls'), ('mls', 'main'), ('main', 'lagi')]","[('permainan', 'nya', 'aneh'), ('nya', 'aneh', 'bet'), ('aneh', 'bet', 'padahal'), ('bet', 'padahal', 'sinyal'), ('padahal', 'sinyal', 'bagus'), ('sinyal', 'bagus', 'malah'), ('bagus', 'malah', 'lambat'), ('malah', 'lambat', 'freefire'), ('lambat', 'freefire', 'apa'), ('freefire', 'apa', 'coba'), ('apa', 'coba', 'lalu'), ('coba', 'lalu', 'warna'), ('lalu', 'warna', 'putihterus'), ('warna', 'putihterus', 'banyak'), ('putihterus', 'banyak', 'orang'), ('banyak', 'orang', 'troll'), ('orang', 'troll', 'bocil'), ('troll', 'bocil', 'drak'), ('bocil', 'drak', 'system'), ('drak', 'system', 'jdi'), ('system', 'jdi', 'mls'), ('jdi', 'mls', 'main'), ('mls', 'main', 'lagi')]","[('aneh', 'bet'), ('bet', 'padahal'), ('padahal', 'sinyal'), ('sinyal', 'bagus'), ('bagus', 'malah'), ('malah', 'lambat'), ('lambat', 'freefire'), ('freefire', 'apa'), ('apa', 'coba'), ('coba', 'lalu'), ('lalu', 'warna'), ('warna', 'putihterus'), ('putihterus', 'banyak'), ('banyak', 'orang'), ('orang', 'troll'), ('troll', 'bocil'), ('bocil', 'drak'), ('drak', 'system'), ('system', 'jdi'), ('jdi', 'mls'), ('mls', 'main'), ('main', 'lagi')]",permainan aneh bet padahal sinyal bagus malah lambat freefire apa coba lalu warna putihterus banyak orang troll bocil drak system jdi mls main lagi
Muhammad Alfansuri lutfi,3,2025-10-03 11:00:11,"min padahal hp gw unlock 120 fps trus dalam game kok gabisa 120 fps dah malahan 60 fps,susah 60 fps minn","min padahal hp gw unlock 120 fps trus dalam game kok gabisa 120 fps dah malahan 60 fps,susah 60 fps minn",min padahal hp gw unlock fps trus dalam game kok gabisa fps dah malahan fpssusah fps minn,"['min', 'padahal', 'hp', 'gw', 'unlock', 'fps', 'trus', 'dalam', 'game', 'kok', 'gabisa', 'fps', 'dah', 'malahan', 'fpssusah', 'fps', 'minn']","['min', 'padahal', 'hp', 'gw', 'unlock', 'fps', 'trus', 'game', 'kok', 'gabisa', 'fps', 'dah', 'malahan', 'fpssusah', 'fps', 'minn']","['min', 'padahal', 'hp', 'gw', 'unlock', 'fps', 'trus', 'game', 'kok', 'gabisa', 'fps', 'dah', 'malah', 'fpssusah', 'fps', 'minn']",min padahal hp gw unlock fps trus game kok gabisa fps dah malah fpssusah fps minn,min padahal hp saya unlock fps terus permainan kok tidak bisa fps sudah malah fpssusah fps minn,min padahal hp saya unlock fps terus permainan kok tidak bisa sudah malah fpssusah minn,min padahal saya unlock fps terus permainan kok tidak bisa sudah malah fpssusah minn,"['min', 'padahal', 'saya', 'unlock', 'fps', 'terus', 'permainan', 'kok', 'tidak', 'bisa', 'sudah', 'malah', 'fpssusah', 'minn']","[('min',), ('padahal',), ('saya',), ('unlock',), ('fps',), ('terus',), ('permainan',), ('kok',), ('tidak',), ('bisa',), ('sudah',), ('malah',), ('fpssusah',), ('minn',)]","[('min', 'padahal'), ('padahal', 'saya'), ('saya', 'unlock'), ('unlock', 'fps'), ('fps', 'terus'), ('terus', 'permainan'), ('permainan', 'kok'), ('kok', 'tidak'), ('tidak', 'bisa'), ('bisa', 'sudah'), ('sudah', 'malah'), ('malah', 'fpssusah'), ('fpssusah', 'minn')]","[('min', 'padahal', 'saya'), ('padahal', 'saya', 'unlock'), ('saya', 'unlock', 'fps'), ('unlock', 'fps', 'terus'), ('fps', 'terus', 'permainan'), ('terus', 'permainan', 'kok'), ('permainan', 'kok', 'tidak'), ('kok', 'tidak', 'bisa'), ('tidak', 'bisa', 'sudah'), ('bisa', 'sudah', 'malah'), ('sudah', 'malah', 'fpssusah'), ('malah', 'fpssusah', 'minn')]","[('min', 'padahal'), ('padahal', 'saya'), ('saya', 'unlock'), ('unlock', 'fps'), ('fps', 'terus'), ('terus', 'permainan'), ('tidak', 'bisa'), ('bisa', 'sudah'), ('sudah', 'malah'), ('malah', 'fpssusah'), ('fpssusah', 'minn')]",min padahal saya unlock fps terus permainan tidak bisa sudah malah fpssusah minn
cakra cakra,5,2025-10-03 10:59:25,ini game yg sangat seru,ini game yg sangat seru,ini game yg sangat seru,"['ini', 'game', 'yg', 'sangat', 'seru']","['game', 'yg', 'sangat', 'seru']","['game', 'yg', 'sangat', 'seru']",game yg sangat seru,permainan yang sangat seru,permainan yang sangat seru,permainan yang sangat seru,"['permainan', 'yang', 'sangat', 'seru']","[('permainan',), ('yang',), ('sangat',), ('seru',)]","[('permainan', 'yang'), ('yang', 'sangat'), ('sangat', 'seru')]","[('permainan', 'yang', 'sangat'), ('yang', 'sangat', 'seru')]","[('sangat', 'seru')]",permainan sangat seru
Ali Topan,5,2025-10-03 10:58:21,skor jngan cepat turun nya y,skor jngan cepat turun nya y,skor jngan cepat turun nya y,"['skor', 'jngan', 'cepat', 'turun', 'nya', 'y']","['skor', 'jngan', 'cepat', 'turun', 'nya', 'y']","['skor', 'jngan', 'cepat', 'turun', 'nya', 'y']",skor jngan cepat turun nya y,skor jngan cepat turun nya y,skor jngan cepat turun nya y,skor jngan cepat turun nya,"['skor', 'jngan', 'cepat', 'turun', 'nya']","[('skor',), ('jngan',), ('cepat',), ('turun',), ('nya',)]","[('skor', 'jngan'), ('jngan', 'cepat'), ('cepat', 'turun'), ('turun', 'nya')]","[('skor', 'jngan', 'cepat'), ('jngan', 'cepat', 'turun'), ('cepat', 'turun', 'nya')]","[('skor', 'jngan'), ('jngan', 'cepat'), ('cepat', 'turun')]",skor jngan cepat turun
Muhammad Asrul,5,2025-10-03 10:54:16,cukup menarik sih tapi ada masalah kecil seperti ngabak,cukup menarik sih tapi ada masalah kecil seperti ngabak,cukup menarik sih tapi ada masalah kecil seperti ngabak,"['cukup', 'menarik', 'sih', 'tapi', 'ada', 'masalah', 'kecil', 'seperti', 'ngabak']","['cukup', 'menarik', 'sih', 'masalah', 'kecil', 'ngabak']","['cukup', 'tarik', 'sih', 'masalah', 'kecil', 'ngabak']",cukup tarik sih masalah kecil ngabak,cukup tarik sih masalah kecil ngabak,cukup tarik sih masalah kecil ngabak,cukup tarik sih masalah kecil ngabak,"['cukup', 'tarik', 'sih', 'masalah', 'kecil', 'ngabak']","[('cukup',), ('tarik',), ('sih',), ('masalah',), ('kecil',), ('ngabak',)]","[('cukup', 'tarik'), ('tarik', 'sih'), ('sih', 'masalah'), ('masalah', 'kecil'), ('kecil', 'ngabak')]","[('cukup', 'tarik', 'sih'), ('tarik', 'sih', 'masalah'), ('sih', 'masalah', 'kecil'), ('masalah', 'kecil', 'ngabak')]","[('cukup', 'tarik'), ('masalah', 'kecil'), ('kecil', 'ngabak')]",cukup tarik masalah kecil ngabak
taufik ismail,5,2025-10-03 10:49:10,aku sangat suka,aku sangat suka,aku sangat suka,"['aku', 'sangat', 'suka']","['aku', 'sangat', 'suka']","['aku', 'sangat', 'suka']",aku sangat suka,saya sangat suka,saya sangat suka,saya sangat suka,"['saya', 'sangat', 'suka']","[('saya',), ('sangat',), ('suka',)]","[('saya', 'sangat'), ('sangat', 'suka')]","[('saya', 'sangat', 'suka')]","[('saya', 'sangat'), ('sangat', 'suka')]",saya sangat suka
Abu Rasyid,5,2025-10-03 10:44:34,game nya bagus tapi kadang kadang ngebug,game nya bagus tapi kadang kadang ngebug,game nya bagus tapi kadang kadang ngebug,"['game', 'nya', 'bagus', 'tapi', 'kadang', 'kadang', 'ngebug']","['game', 'nya', 'bagus', 'kadang', 'kadang', 'ngebug']","['game', 'nya', 'bagus', 'kadang', 'kadang', 'ngebug']",game nya bagus kadang kadang ngebug,permainan nya bagus kadang kadang ngebug,permainan nya bagus kadang ngebug,permainan nya bagus kadang ngebug,"['permainan', 'nya', 'bagus', 'kadang', 'ngebug']","[('permainan',), ('nya',), ('bagus',), ('kadang',), ('ngebug',)]","[('permainan', 'nya'), ('nya', 'bagus'), ('bagus', 'kadang'), ('kadang', 'ngebug')]","[('permainan', 'nya', 'bagus'), ('nya', 'bagus', 'kadang'), ('bagus', 'kadang', 'ngebug')]","[('bagus', 'kadang'), ('kadang', 'ngebug')]",permainan bagus kadang ngebug
Dafa Pratama,5,2025-10-03 10:43:51,gacor,gacor,gacor,['gacor'],['gacor'],['gacor'],gacor,gacor,gacor,gacor,['gacor'],"[('gacor',)]",[],[],[],gacor
kancil halus,5,2025-10-03 10:36:59,game nya seru,game nya seru,game nya seru,"['game', 'nya', 'seru']","['game', 'nya', 'seru']","['game', 'nya', 'seru']",game nya seru,permainan nya seru,permainan nya seru,permainan nya seru,"['permainan', 'nya', 'seru']","[('permainan',), ('nya',), ('seru',)]","[('permainan', 'nya'), ('nya', 'seru')]","[('permainan', 'nya', 'seru')]",[],permainan seru
Ggggvfff,5,2025-10-03 10:31:04,👍,👍,,[],[],[],,nan,nan,nan,['nan'],"[('nan',)]",[],[],[],nan
Nurasih Dariansyah,5,2025-10-03 10:26:41,karena ini game yg sangat seruuuu sekali kami bisa mabar dan bisa onmic 🙏🤓,karena ini game yg sangat seruuuu sekali kami bisa mabar dan bisa onmic 🙏🤓,karena ini game yg sangat seruuuu sekali kami bisa mabar dan bisa onmic,"['karena', 'ini', 'game', 'yg', 'sangat', 'seruuuu', 'sekali', 'kami', 'bisa', 'mabar', 'dan', 'bisa', 'onmic']","['game', 'yg', 'sangat', 'seruuuu', 'sekali', 'mabar', 'onmic']","['game', 'yg', 'sangat', 'seruuuu', 'sekali', 'mabar', 'onmic']",game yg sangat seruuuu sekali mabar onmic,permainan yang sangat seruuuu sekali mabar onmic,permainan yang sangat seruuuu sekali mabar onmic,permainan yang sangat seru sekali mabar onmic,"['permainan', 'yang', 'sangat', 'seru', 'sekali', 'mabar', 'onmic']","[('permainan',), ('yang',), ('sangat',), ('seru',), ('sekali',), ('mabar',), ('onmic',)]","[('permainan', 'yang'), ('yang', 'sangat'), ('sangat', 'seru'), ('seru', 'sekali'), ('sekali', 'mabar'), ('mabar', 'onmic')]","[('permainan', 'yang', 'sangat'), ('yang', 'sangat', 'seru'), ('sangat', 'seru', 'sekali'), ('seru', 'sekali', 'mabar'), ('sekali', 'mabar', 'onmic')]","[('sangat', 'seru'), ('seru', 'sekali'), ('sekali', 'mabar'), ('mabar', 'onmic')]",permainan sangat seru sekali mabar onmic
Siti Ilyas,5,2025-10-03 10:26:32,karna sedikit orng nya babi,karna sedikit orng nya babi,karna sedikit orng nya babi,"['karna', 'sedikit', 'orng', 'nya', 'babi']","['karna', 'sedikit', 'orng', 'nya', 'babi']","['karna', 'sedikit', 'orng', 'nya', 'babi']",karna sedikit orng nya babi,karena sedikit orng nya babi,karena sedikit orng nya babi,karena sedikit orng nya babi,"['karena', 'sedikit', 'orng', 'nya', 'babi']","[('karena',), ('sedikit',), ('orng',), ('nya',), ('babi',)]","[('karena', 'sedikit'), ('sedikit', 'orng'), ('orng', 'nya'), ('nya', 'babi')]","[('karena', 'sedikit', 'orng'), ('sedikit', 'orng', 'nya'), ('orng', 'nya', 'babi')]","[('karena', 'sedikit'), ('sedikit', 'orng')]",karena sedikit orng babi
Daffa Syaputra,5,2025-10-03 10:22:04,geme sangat bagus btw minta daimon min,geme sangat bagus btw minta daimon min,geme sangat bagus btw minta daimon min,"['geme', 'sangat', 'bagus', 'btw', 'minta', 'daimon', 'min']","['geme', 'sangat', 'bagus', 'btw', 'minta', 'daimon', 'min']","['geme', 'sangat', 'bagus', 'btw', 'minta', 'daimon', 'min']",geme sangat bagus btw minta daimon min,permainan sangat bagus btw minta daimon min,permainan sangat bagus btw minta daimon min,permainan sangat bagus btw minta daimon min,"['permainan', 'sangat', 'bagus', 'btw', 'minta', 'daimon', 'min']","[('permainan',), ('sangat',), ('bagus',), ('btw',), ('minta',), ('daimon',), ('min',)]","[('permainan', 'sangat'), ('sangat', 'bagus'), ('bagus', 'btw'), ('btw', 'minta'), ('minta', 'daimon'), ('daimon', 'min')]","[('permainan', 'sangat', 'bagus'), ('sangat', 'bagus', 'btw'), ('bagus', 'btw', 'minta'), ('btw', 'minta', 'daimon'), ('minta', 'daimon', 'min')]","[('permainan', 'sangat'), ('sangat', 'bagus'), ('bagus', 'btw'), ('btw', 'minta'), ('minta', 'daimon'), ('daimon', 'min')]",permainan sangat bagus btw minta daimon min
Gina Dini,5,2025-10-03 10:20:22,sangat menyenangkan,sangat menyenangkan,sangat menyenangkan,"['sangat', 'menyenangkan']","['sangat', 'menyenangkan']","['sangat', 'senang']",sangat senang,sangat senang,sangat senang,sangat senang,"['sangat', 'senang']","[('sangat',), ('senang',)]","[('sangat', 'senang')]",[],"[('sangat', 'senang')]",sangat senang
Ali Ali,5,2025-10-03 10:14:04,game nya seru,game nya seru,game nya seru,"['game', 'nya', 'seru']","['game', 'nya', 'seru']","['game', 'nya', 'seru']",game nya seru,permainan nya seru,permainan nya seru,permainan nya seru,"['permainan', 'nya', 'seru']","[('permainan',), ('nya',), ('seru',)]","[('permainan', 'nya'), ('nya', 'seru')]","[('permainan', 'nya', 'seru')]",[],permainan seru
Agus Kuprit,5,2025-10-03 10:12:31,bagus dan enak buat main,bagus dan enak buat main,bagus dan enak buat main,"['bagus', 'dan', 'enak', 'buat', 'main']","['bagus', 'enak', 'buat', 'main']","['bagus', 'enak', 'buat', 'main']",bagus enak buat main,bagus enak buat main,bagus enak buat main,bagus enak buat main,"['bagus', 'enak', 'buat', 'main']","[('bagus',), ('enak',), ('buat',), ('main',)]","[('bagus', 'enak'), ('enak', 'buat'), ('buat', 'main')]","[('bagus', 'enak', 'buat'), ('enak', 'buat', 'main')]","[('bagus', 'enak'), ('enak', 'buat'), ('buat', 'main')]",bagus enak buat main
Muhammad Subkhi,1,2025-10-03 10:11:56,kemabliin akun bang budi garena,kemabliin akun bang budi garena,kemabliin akun bang budi garena,"['kemabliin', 'akun', 'bang', 'budi', 'garena']","['kemabliin', 'akun', 'bang', 'budi', 'garena']","['kemabliin', 'akun', 'bang', 'budi', 'garena']",kemabliin akun bang budi garena,kemabliin akun bang budi garena,kemabliin akun bang budi garena,kemabliin akun bang budi garena,"['kemabliin', 'akun', 'bang', 'budi', 'garena']","[('kemabliin',), ('akun',), ('bang',), ('budi',), ('garena',)]","[('kemabliin', 'akun'), ('akun', 'bang'), ('bang', 'budi'), ('budi', 'garena')]","[('kemabliin', 'akun', 'bang'), ('akun', 'bang', 'budi'), ('bang', 'budi', 'garena')]","[('kemabliin', 'akun'), ('akun', 'bang'), ('bang', 'budi'), ('budi', 'garena')]",kemabliin akun bang budi garena
Riska Rahmadani,5,2025-10-03 10:11:37,aku sangat suka ff,aku sangat suka ff,aku sangat suka ff,"['aku', 'sangat', 'suka', 'ff']","['aku', 'sangat', 'suka', 'ff']","['aku', 'sangat', 'suka', 'ff']",aku sangat suka ff,saya sangat suka freefire,saya sangat suka freefire,saya sangat suka freefire,"['saya', 'sangat', 'suka', 'freefire']","[('saya',), ('sangat',), ('suka',), ('freefire',)]","[('saya', 'sangat'), ('sangat', 'suka'), ('suka', 'freefire')]","[('saya', 'sangat', 'suka'), ('sangat', 'suka', 'freefire')]","[('saya', 'sangat'), ('sangat', 'suka'), ('suka', 'freefire')]",saya sangat suka freefire
MUHYIDIN Jamil,5,2025-10-03 10:10:55,ini adalah game terbaik di seluruh dunia garena semoga akun ku selalu hoki garena🙏,ini adalah game terbaik di seluruh dunia garena semoga akun ku selalu hoki garena🙏,ini adalah game terbaik di seluruh dunia garena semoga akun ku selalu hoki garena,"['ini', 'adalah', 'game', 'terbaik', 'di', 'seluruh', 'dunia', 'garena', 'semoga', 'akun', 'ku', 'selalu', 'hoki', 'garena']","['game', 'terbaik', 'seluruh', 'dunia', 'garena', 'semoga', 'akun', 'ku', 'selalu', 'hoki', 'garena']","['game', 'baik', 'seluruh', 'dunia', 'garena', 'moga', 'akun', 'ku', 'selalu', 'hoki', 'garena']",game baik seluruh dunia garena moga akun ku selalu hoki garena,permainan baik seluruh dunia garena semoga akun ku selalu beruntung garena,permainan baik seluruh dunia garena semoga akun ku selalu beruntung,permainan baik seluruh dunia garena semoga akun selalu beruntung,"['permainan', 'baik', 'seluruh', 'dunia', 'garena', 'semoga', 'akun', 'selalu', 'beruntung']","[('permainan',), ('baik',), ('seluruh',), ('dunia',), ('garena',), ('semoga',), ('akun',), ('selalu',), ('beruntung',)]","[('permainan', 'baik'), ('baik', 'seluruh'), ('seluruh', 'dunia'), ('dunia', 'garena'), ('garena', 'semoga'), ('semoga', 'akun'), ('akun', 'selalu'), ('selalu', 'beruntung')]","[('permainan', 'baik', 'seluruh'), ('baik', 'seluruh', 'dunia'), ('seluruh', 'dunia', 'garena'), ('dunia', 'garena', 'semoga'), ('garena', 'semoga', 'akun'), ('semoga', 'akun', 'selalu'), ('akun', 'selalu', 'beruntung')]","[('permainan', 'baik'), ('baik', 'seluruh'), ('seluruh', 'dunia'), ('dunia', 'garena'), ('garena', 'semoga'), ('semoga', 'akun'), ('akun', 'selalu'), ('selalu', 'beruntung')]",permainan baik seluruh dunia garena semoga akun selalu beruntung
Oppo,5,2025-10-03 10:07:58,baik,baik,baik,['baik'],['baik'],['baik'],baik,baik,baik,baik,['baik'],"[('baik',)]",[],[],[],baik
Februari Februari,5,2025-10-03 10:07:01,Bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus,bagus,bagus,bagus,['bagus'],"[('bagus',)]",[],[],[],bagus
Dandox Badada,5,2025-10-03 09:58:21,tolong perbaiki soal ganguan sinyal,tolong perbaiki soal ganguan sinyal,tolong perbaiki soal ganguan sinyal,"['tolong', 'perbaiki', 'soal', 'ganguan', 'sinyal']","['perbaiki', 'soal', 'ganguan', 'sinyal']","['baik', 'soal', 'ganguan', 'sinyal']",baik soal ganguan sinyal,baik soal ganguan sinyal,baik soal ganguan sinyal,baik soal ganguan sinyal,"['baik', 'soal', 'ganguan', 'sinyal']","[('baik',), ('soal',), ('ganguan',), ('sinyal',)]","[('baik', 'soal'), ('soal', 'ganguan'), ('ganguan', 'sinyal')]","[('baik', 'soal', 'ganguan'), ('soal', 'ganguan', 'sinyal')]","[('baik', 'soal'), ('soal', 'ganguan'), ('ganguan', 'sinyal')]",baik soal ganguan sinyal
WILDAN•gz,1,2025-10-03 09:56:21,jelek grafik udah rata kiri masih aja ngelag,jelek grafik udah rata kiri masih aja ngelag,jelek grafik udah rata kiri masih aja ngelag,"['jelek', 'grafik', 'udah', 'rata', 'kiri', 'masih', 'aja', 'ngelag']","['jelek', 'grafik', 'udah', 'rata', 'kiri', 'aja', 'ngelag']","['jelek', 'grafik', 'udah', 'rata', 'kiri', 'aja', 'ngelag']",jelek grafik udah rata kiri aja ngelag,jelek grafik sudah rata kiri saja lambat,jelek grafik sudah rata kiri saja lambat,jelek grafik sudah rata kiri saja lambat,"['jelek', 'grafik', 'sudah', 'rata', 'kiri', 'saja', 'lambat']","[('jelek',), ('grafik',), ('sudah',), ('rata',), ('kiri',), ('saja',), ('lambat',)]","[('jelek', 'grafik'), ('grafik', 'sudah'), ('sudah', 'rata'), ('rata', 'kiri'), ('kiri', 'saja'), ('saja', 'lambat')]","[('jelek', 'grafik', 'sudah'), ('grafik', 'sudah', 'rata'), ('sudah', 'rata', 'kiri'), ('rata', 'kiri', 'saja'), ('kiri', 'saja', 'lambat')]","[('jelek', 'grafik'), ('grafik', 'sudah'), ('sudah', 'rata'), ('rata', 'kiri'), ('kiri', 'saja'), ('saja', 'lambat')]",jelek grafik sudah rata kiri saja lambat
Patur fm Rahman,1,2025-10-03 09:56:20,bug demeg mohon di perbaiki secepatnya,bug demeg mohon di perbaiki secepatnya,bug demeg mohon di perbaiki secepatnya,"['bug', 'demeg', 'mohon', 'di', 'perbaiki', 'secepatnya']","['bug', 'demeg', 'mohon', 'perbaiki', 'secepatnya']","['bug', 'deg', 'mohon', 'baik', 'cepat']",bug deg mohon baik cepat,bug deg mohon baik cepat,bug deg mohon baik cepat,bug deg mohon baik cepat,"['bug', 'deg', 'mohon', 'baik', 'cepat']","[('bug',), ('deg',), ('mohon',), ('baik',), ('cepat',)]","[('bug', 'deg'), ('deg', 'mohon'), ('mohon', 'baik'), ('baik', 'cepat')]","[('bug', 'deg', 'mohon'), ('deg', 'mohon', 'baik'), ('mohon', 'baik', 'cepat')]","[('bug', 'deg'), ('deg', 'mohon'), ('mohon', 'baik'), ('baik', 'cepat')]",bug deg mohon baik cepat
Sufiyannor,1,2025-10-03 09:53:52,bagusan pubg,bagusan pubg,bagusan pubg,"['bagusan', 'pubg']","['bagusan', 'pubg']","['bagus', 'pubg']",bagus pubg,bagus pubg,bagus pubg,bagus pubg,"['bagus', 'pubg']","[('bagus',), ('pubg',)]","[('bagus', 'pubg')]",[],"[('bagus', 'pubg')]",bagus pubg
Indra Saputra jaya,5,2025-10-03 09:53:19,ecccooo#666,ecccooo#666,ecccooo,['ecccooo'],['ecccooo'],['ecccooo'],ecccooo,ecccooo,ecccooo,eco,['eco'],"[('eco',)]",[],[],[],eco
