userName,score,at,content,content_casefold
Tri Rohmanto Rohman,5,2025-10-02 18:03:25,asik,asik
Eilish bert elyees Eilish,5,2025-10-02 17:58:15,bagus,bagus
Agung Triyadi,1,2025-10-02 17:48:05,oi akun gua itu benerin bodo nuggu muluu gem tolo lammaaaa,oi akun gua itu benerin bodo nuggu muluu gem tolo lammaaaa
Bot Grow,1,2025-10-02 16:31:51,💔💔💔💔,💔💔💔💔
Gayau Sjaji,5,2025-10-02 16:25:19,bagus,bagus
Mismo Surya prasaja,5,2025-10-02 16:22:14,Makasih sudah menemani masa kecil ku sekarang aku sudah lebih dewasa aku akan lebih fokus ke cita cita ku 👋👋,makasih sudah menemani masa kecil ku sekarang aku sudah lebih dewasa aku akan lebih fokus ke cita cita ku 👋👋
endi sopandi,5,2025-10-02 16:14:27,nyaman,nyaman
Penok Ajja,5,2025-10-02 16:06:14,suka SE x....,suka se x....
Aris Werimon,5,2025-10-02 16:05:13,mantap,mantap
mr hanns,5,2025-10-02 15:56:55,gw jadi makin gg ni comback epep,gw jadi makin gg ni comback epep
KAMUNANYA Wkwk,1,2025-10-02 15:41:44,menurutku gem ini bagus tapi minusnya gak di kasih hoki dan banyak DARK sistem di cs.di BR,menurutku gem ini bagus tapi minusnya gak di kasih hoki dan banyak dark sistem di cs.di br
Radiansa40 Radiansa40,5,2025-10-02 15:36:10,SERUUU,seruuu
Dionisius Silalahi,1,2025-10-02 15:34:33,gua udah pensi gua udah dari 2019 main ini gem dan hari pertama gua kambek main ff di situ Garena kecewain aku. akun ff gua di bl sama Garena Sam kayak yg di alami bg Budi . cuman satu yg gua mau bilang kalau bukan karena bang Budi 01 gem ini inggak banyak yg minat main kan 😔,gua udah pensi gua udah dari 2019 main ini gem dan hari pertama gua kambek main ff di situ garena kecewain aku. akun ff gua di bl sama garena sam kayak yg di alami bg budi . cuman satu yg gua mau bilang kalau bukan karena bang budi 01 gem ini inggak banyak yg minat main kan 😔
Rido,5,2025-10-02 15:23:02,bagusss,bagusss
Oryu Buulolo,5,2025-10-02 15:17:34,keren,keren
Saprijal aja Aja,5,2025-10-02 15:14:31,sa sangat bagus,sa sangat bagus
stokkk Evooo256,1,2025-10-02 15:11:43,"bug damage gak ngotak, bikin males main🥱","bug damage gak ngotak, bikin males main🥱"
Bang Dugut,1,2025-10-02 15:10:29,game nya jelek,game nya jelek
Al Pais,5,2025-10-02 15:01:10,Oke,oke
angel Silahi,5,2025-10-02 15:01:10,NICE,nice
YUDA 1,1,2025-10-02 14:57:47,teman bot semua,teman bot semua
Rian Ilyasa,5,2025-10-02 14:52:12,salam tetap gak ada pintu SALAM BURIKKKK,salam tetap gak ada pintu salam burikkkk
Dimas,5,2025-10-02 14:51:10,manatapp garena bagi akun dong,manatapp garena bagi akun dong
Frengki Cipeng,1,2025-10-02 14:49:20,game payah,game payah
Aifen lowen,1,2025-10-02 14:45:17,"benerin game lu nih, makin hari makin menjadi-jadi yang gak pake chit di ban yang pake Chet gak di ban game apa ini kek gak ada yang urus lu baca lu liat apa keluhan kami sebagai proplyer atau yang main game yang lu buat kalo gini terus mending hapus aja game ini dari play store.","benerin game lu nih, makin hari makin menjadi-jadi yang gak pake chit di ban yang pake chet gak di ban game apa ini kek gak ada yang urus lu baca lu liat apa keluhan kami sebagai proplyer atau yang main game yang lu buat kalo gini terus mending hapus aja game ini dari play store."
IRIANA Ana,5,2025-10-02 14:42:14,gem seru kualitas bagus,gem seru kualitas bagus
Kartika kim,1,2025-10-02 14:34:17,"𝒑𝒂𝒓𝒂𝒉 𝒖𝒅𝒉 𝒔𝒆𝒎𝒊𝒏𝒈𝒈𝒖𝒂𝒏 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒌𝒖𝒏𝒊𝒏𝒈 𝒎𝒖𝒍𝒖 𝟑𝟎𝟎+ 𝒎𝒖𝒍𝒖.. 𝒃𝒊𝒌𝒊𝒏 𝒆𝒎𝒐𝒔𝒊 𝒎𝒂𝒊𝒏 𝒏𝒚𝒂.. 𝒑𝒂𝒅𝒂𝒉𝒂𝒍 𝒑𝒂𝒌𝒂𝒊 𝒘𝒊𝒇𝒊, 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒋𝒈 𝒃𝒂𝒊𝒌, 𝒊𝒏𝒊 𝒚𝒈 𝒔𝒂𝒍𝒂𝒉 𝒅𝒊𝒎𝒏𝒂 𝒚𝒂𝒂.. 𝒔𝒂𝒎𝒑𝒆 𝒂𝒒 𝒉𝒂𝒑𝒖𝒔𝟐𝒊𝒏, 𝒓𝒆𝒔𝒕𝒂𝒓𝒕 𝒃𝒆𝒓𝒌𝒂𝒍𝒊𝟐 𝒕𝒆𝒕𝒆𝒑 𝒃𝒊𝒌𝒊𝒏 𝒌𝒆𝒔𝒆𝒍 𝒌𝒂𝒓𝒆𝒏𝒂 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒕𝒊𝒃𝒂𝟐 𝒏𝒂𝒊𝒌 ... 𝒕𝒐𝒍𝒐𝒏𝒈 𝒍𝒂𝒉","𝒑𝒂𝒓𝒂𝒉 𝒖𝒅𝒉 𝒔𝒆𝒎𝒊𝒏𝒈𝒈𝒖𝒂𝒏 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒌𝒖𝒏𝒊𝒏𝒈 𝒎𝒖𝒍𝒖 𝟑𝟎𝟎+ 𝒎𝒖𝒍𝒖.. 𝒃𝒊𝒌𝒊𝒏 𝒆𝒎𝒐𝒔𝒊 𝒎𝒂𝒊𝒏 𝒏𝒚𝒂.. 𝒑𝒂𝒅𝒂𝒉𝒂𝒍 𝒑𝒂𝒌𝒂𝒊 𝒘𝒊𝒇𝒊, 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒋𝒈 𝒃𝒂𝒊𝒌, 𝒊𝒏𝒊 𝒚𝒈 𝒔𝒂𝒍𝒂𝒉 𝒅𝒊𝒎𝒏𝒂 𝒚𝒂𝒂.. 𝒔𝒂𝒎𝒑𝒆 𝒂𝒒 𝒉𝒂𝒑𝒖𝒔𝟐𝒊𝒏, 𝒓𝒆𝒔𝒕𝒂𝒓𝒕 𝒃𝒆𝒓𝒌𝒂𝒍𝒊𝟐 𝒕𝒆𝒕𝒆𝒑 𝒃𝒊𝒌𝒊𝒏 𝒌𝒆𝒔𝒆𝒍 𝒌𝒂𝒓𝒆𝒏𝒂 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒕𝒊𝒃𝒂𝟐 𝒏𝒂𝒊𝒌 ... 𝒕𝒐𝒍𝒐𝒏𝒈 𝒍𝒂𝒉"
Mas Cungkring,5,2025-10-02 14:34:04,"sangat bagus, tapi sayang banyak yang ngechit","sangat bagus, tapi sayang banyak yang ngechit"
Rafka Putra,1,2025-10-02 14:22:14,kocak orang gak salah apa² di bl game rusak,kocak orang gak salah apa² di bl game rusak
Rafi Celyn,1,2025-10-02 14:10:02,Jelek,jelek
Herda Gamer,5,2025-10-02 14:09:45,"sebaik""nya lebih baik ketika kita mendapatkan sebuah hadiah dri seseorang pembuat gamenya sendiri","sebaik""nya lebih baik ketika kita mendapatkan sebuah hadiah dri seseorang pembuat gamenya sendiri"
Prince azzami Pramesta,5,2025-10-02 14:07:38,"oy min, sg trouble nya kapan keluar yang permanen?","oy min, sg trouble nya kapan keluar yang permanen?"
ÊVÎŁツSH ÐØW Z,1,2025-10-02 14:07:22,"sumpah gm ya bagus banget playernya juga baik"" Peh aku kasih reting 5-4 sangking bagus nya","sumpah gm ya bagus banget playernya juga baik"" peh aku kasih reting 5-4 sangking bagus nya"
Atjwar mbejux,1,2025-10-02 14:06:10,awal sisen pasti ngelagggg cs atau br sama aja gimana ini Garena udah pakai data tetap ngelaggg pakai wifi sama aja gimana ini Garena woiiii tolongg apa aku terlalu jago ya Garena tahik lak 😭😭😭,awal sisen pasti ngelagggg cs atau br sama aja gimana ini garena udah pakai data tetap ngelaggg pakai wifi sama aja gimana ini garena woiiii tolongg apa aku terlalu jago ya garena tahik lak 😭😭😭
Haidar,5,2025-10-02 14:05:52,siapa yg buat kasih diamond,siapa yg buat kasih diamond
Fatihr Ardiansha putera,1,2025-10-02 13:58:07,permainan buruk,permainan buruk
M david M david sepriansyah,5,2025-10-02 13:49:43,firefire adalh gem yg seru dan paling baguss ayo garena terus semangat untuk mengabdet setiap seson firefire!!,firefire adalh gem yg seru dan paling baguss ayo garena terus semangat untuk mengabdet setiap seson firefire!!
Zhakariya78 Z-78,5,2025-10-02 13:40:39,FF emang keren banget bisa dapat kan bandel gratis,ff emang keren banget bisa dapat kan bandel gratis
Adib Kajen,1,2025-10-02 13:39:47,gelarena kenapa bayak cit,gelarena kenapa bayak cit
Faizal Septriansyah,1,2025-10-02 13:38:28,tolong kembalikan jaman 2019😟,tolong kembalikan jaman 2019😟
Rapi Amasah,5,2025-10-02 13:35:19,game bagus,game bagus
Andre Yesaya,3,2025-10-02 13:33:09,game seru tapi gak kasih D,game seru tapi gak kasih d
Nizam,1,2025-10-02 13:30:51,"sinyal nya tolong diperbaiki, karena dibuat scroll atau lainnya lancar tapi pas main jadi jelek","sinyal nya tolong diperbaiki, karena dibuat scroll atau lainnya lancar tapi pas main jadi jelek"
Alim Agus,5,2025-10-02 13:30:30,karena game ini asik,karena game ini asik
Roni Syahputra,4,2025-10-02 13:30:10,saya sangat suka,saya sangat suka
Fitri Saja,5,2025-10-02 13:30:00,ff sekarang bagusss💯,ff sekarang bagusss💯
Ivander Raka,5,2025-10-02 13:28:46,seru banget rasanya seneng,seru banget rasanya seneng
Rendy Rendy,5,2025-10-02 13:26:46,Ahmad fajar ff,ahmad fajar ff
idris Ahmad,1,2025-10-02 13:19:41,jangan donglot plis akun gw hilang 2× plis game peng hilang akun,jangan donglot plis akun gw hilang 2× plis game peng hilang akun
Rezi Bos king,5,2025-10-02 13:19:29,keren,keren
Pili Petak,5,2025-10-02 13:18:23,SANGAT KEREN,sangat keren
irfan nugraha,2,2025-10-02 13:07:27,garena mohon game ini di perbaiki di tidak bisa login ada bacaan server config 3,garena mohon game ini di perbaiki di tidak bisa login ada bacaan server config 3
Tegar Herdiansyah,1,2025-10-02 13:06:44,game sangat bagus,game sangat bagus
Muhamad Hafizh,5,2025-10-02 13:06:13,seru,seru
Chuu,1,2025-10-02 12:59:42,jaringan tidak stabil padahal sinyal bagus,jaringan tidak stabil padahal sinyal bagus
Dewi Puspitasari,1,2025-10-02 12:59:30,"game burik monyet, gw gak mic gak ngomong kasar, gk ngetik toxic juga knp tb² di mute babi apa² di mute sekalian aja fitur mic hapus asu","game burik monyet, gw gak mic gak ngomong kasar, gk ngetik toxic juga knp tb² di mute babi apa² di mute sekalian aja fitur mic hapus asu"
Budi Okee,5,2025-10-02 12:58:45,banyak bak demege,banyak bak demege
ANINDIA FAUZIAH,4,2025-10-02 12:52:36,bagus,bagus
Nazwa Wawa,1,2025-10-02 12:51:51,akun aku gabisa dibalikin padahal akun Facebook🙁,akun aku gabisa dibalikin padahal akun facebook🙁
Rizal 0999,5,2025-10-02 12:50:33,bapaku garena,bapaku garena
Ranto Saputra,5,2025-10-02 12:49:50,"gamenya burik,kikir full png,banyak drama","gamenya burik,kikir full png,banyak drama"
Neza Pratama,4,2025-10-02 12:48:45,FRI.FIREE,fri.firee
Adam Adam,5,2025-10-02 12:45:16,bagus bngttt,bagus bngttt
rehan faturrahman,1,2025-10-02 12:42:11,kenapa bang budi di blaklits dia juga butuh 💸,kenapa bang budi di blaklits dia juga butuh 💸
Rufaidah,5,2025-10-02 12:41:29,sangat sukaa sklii sm game in seru dan gak bikin aku gabut lgii pokoknya bintang lima dehh,sangat sukaa sklii sm game in seru dan gak bikin aku gabut lgii pokoknya bintang lima dehh
alfarezrl rmdn,1,2025-10-02 12:40:45,ni game banyak bocil nairi cik 😹,ni game banyak bocil nairi cik 😹
dana dana,3,2025-10-02 12:39:11,turunkah harga toko prime ga ngontak,turunkah harga toko prime ga ngontak
Xhaka Omer,1,2025-10-02 12:33:33,Garena parbaiki game kamu karena aku pas main tiba tiba keluar sendiri,garena parbaiki game kamu karena aku pas main tiba tiba keluar sendiri
oki jerom,5,2025-10-02 12:32:00,sangat seru!,sangat seru!
habib Zain,2,2025-10-02 12:30:35,kakaean bug,kakaean bug
Rahma wati,5,2025-10-02 12:28:18,"aku ketika main ff, beh aim gw gacorr dan ff nggak burik lagi, aku udah lama juga main ff, mulai dari 2019","aku ketika main ff, beh aim gw gacorr dan ff nggak burik lagi, aku udah lama juga main ff, mulai dari 2019"
Komang Aldi,5,2025-10-02 12:26:22,ff selalu dihati siapa yang.nglihat in juga suka ff salam nama saya wayan Adi Saputra dari hti di wilayah Lampung,ff selalu dihati siapa yang.nglihat in juga suka ff salam nama saya wayan adi saputra dari hti di wilayah lampung
Theys Pattiasina,4,2025-10-02 12:25:06,karna garvik bagus,karna garvik bagus
El Hazmi,1,2025-10-02 12:23:05,al,al
Risto Boimau,5,2025-10-02 12:19:41,saya suka mai Free fire max,saya suka mai free fire max
Jamal arya,5,2025-10-02 12:18:38,game ini sangat bagus untuk di main kan seru sekali,game ini sangat bagus untuk di main kan seru sekali
Fa Dhil,5,2025-10-02 12:12:28,mantap,mantap
Olivia Zm,5,2025-10-02 12:11:31,👍👍👍👍👍👍👍,👍👍👍👍👍👍👍
Putra Ragil,5,2025-10-02 12:09:35,Game yang seru 👍👍👍,game yang seru 👍👍👍
Boo kirr,5,2025-10-02 12:08:46,mantap,mantap
Nabil Modz,5,2025-10-02 12:06:29,"game udah bagus cuman kekurangannya satu , banyak cheat dan ada beberapa bagian player yang menggunakan cheat cuman gak di banned sama sekali","game udah bagus cuman kekurangannya satu , banyak cheat dan ada beberapa bagian player yang menggunakan cheat cuman gak di banned sama sekali"
Eca Galaxy,5,2025-10-02 12:04:25,"bagus banget tau tapi aku pengen hoki melulu 😥😥😥😔😔🙏🙏😭😭plies Garena kece keren banget 👋🥺😚😚😚🍰🍰🍰🍰🥰🥰🥰 aku,ingin diamonds, nama usryme me elsa,,Naura","bagus banget tau tapi aku pengen hoki melulu 😥😥😥😔😔🙏🙏😭😭plies garena kece keren banget 👋🥺😚😚😚🍰🍰🍰🍰🥰🥰🥰 aku,ingin diamonds, nama usryme me elsa,,naura"
Irfan Sugiarto,1,2025-10-02 12:03:55,kembalikan akun ku yang ke banned,kembalikan akun ku yang ke banned
Rabilian Iskandar,4,2025-10-02 12:03:11,matchmaking nya lama banget,matchmaking nya lama banget
Teggar,1,2025-10-02 11:59:35,game kikir pake nge bl bg budi lgi rusak²,game kikir pake nge bl bg budi lgi rusak²
Didik kandangan Rostanto,5,2025-10-02 11:58:16,seru dan menyenangkan,seru dan menyenangkan
Riyo Adi,1,2025-10-02 11:54:05,niat hati mau balik game lagi malah ga bisa login diulang tetap sama,niat hati mau balik game lagi malah ga bisa login diulang tetap sama
Riko,5,2025-10-02 11:51:17,Game ini akan indah jika akunku kembali,game ini akan indah jika akunku kembali
Sahari Herri,4,2025-10-02 11:51:17,min ko free fire jadi ginih GK onmic dan GK bisa di perbaiki knp min tolong dong min GK bisa bisa 🙏🙏,min ko free fire jadi ginih gk onmic dan gk bisa di perbaiki knp min tolong dong min gk bisa bisa 🙏🙏
Firdan Aditya,5,2025-10-02 11:44:00,suka ngelek ngelek ama patah patah kadang suka banting hv sanking kesel nya kalo bisa mah turunin mb nya lah,suka ngelek ngelek ama patah patah kadang suka banting hv sanking kesel nya kalo bisa mah turunin mb nya lah
LOIS APRILI MUSKANANFOLA,5,2025-10-02 11:42:36,aku suka game ini,aku suka game ini
Ikbal Kc,5,2025-10-02 11:35:23,kirim DM sekilas nya,kirim dm sekilas nya
shofi frogner,1,2025-10-02 11:27:46,epep game burik ngntd,epep game burik ngntd
CERIA AGNIA SHALIHAH,5,2025-10-02 11:27:30,DOWNLOAD SEKARANG JUGAAAA!!!!!!!!!!,download sekarang jugaaaa!!!!!!!!!!
Afriansa putera,1,2025-10-02 11:25:35,game tak tau trima kasi hilang suda panutan ku,game tak tau trima kasi hilang suda panutan ku
Hendri Kates,5,2025-10-02 11:18:09,gem ini sangat bagus,gem ini sangat bagus
vanaaa??,5,2025-10-02 11:15:26,"MASYAALLAH Tabarakallah gamenya kadang timnya draksistem, kroco, kadang ngelag😤 tapi Alhamdulillah saya main baik baik ajaa😻","masyaallah tabarakallah gamenya kadang timnya draksistem, kroco, kadang ngelag😤 tapi alhamdulillah saya main baik baik ajaa😻"
Nai Enay,4,2025-10-02 11:07:20,"ini game nya bagus tapi, sinyal nya sering putus² padahal disini koneksi internet nya bagus.","ini game nya bagus tapi, sinyal nya sering putus² padahal disini koneksi internet nya bagus."
Reni Reni,5,2025-10-02 11:04:03,bagus banget,bagus banget
Arka,5,2025-10-02 11:01:04,game nya enak banget dan animasinya bagus,game nya enak banget dan animasinya bagus
Gween Syareefa,3,2025-10-02 10:59:41,bagu sih tapi kurangin ngebug nya aj itu aja si,bagu sih tapi kurangin ngebug nya aj itu aja si
Lusiana Maryanti,5,2025-10-02 10:58:07,kenapa banyak bak di gem ini,kenapa banyak bak di gem ini
hergethemi betaubun,4,2025-10-02 10:55:26,"min Garena perbaikin ff dong, kok gw main cs ketemu cheter mulu","min garena perbaikin ff dong, kok gw main cs ketemu cheter mulu"
Rozak Fatah,1,2025-10-02 10:53:42,kembalikan diamond ungu😡😡,kembalikan diamond ungu😡😡
Nadia syg Nadia syg,5,2025-10-02 10:53:33,game ini sangat penting untuk saya buat Garena makasih udah buat game ini semoga sehat selalu ya garena amiiinnn,game ini sangat penting untuk saya buat garena makasih udah buat game ini semoga sehat selalu ya garena amiiinnn
Agus Komang,1,2025-10-02 10:50:23,kembalikan akun bang Budi,kembalikan akun bang budi
Haikal,1,2025-10-02 10:41:17,tu BG Budi 01 gaming gak bisa main lagi apalah garena,tu bg budi 01 gaming gak bisa main lagi apalah garena
Nabila Golden,5,2025-10-02 10:39:38,game ini menarik perhatian para semua pencinta game dan yap min jangan lupa perbaiki lagi ya min kadang agk ngeleg atau ada bug terimakasih sudah membaca,game ini menarik perhatian para semua pencinta game dan yap min jangan lupa perbaiki lagi ya min kadang agk ngeleg atau ada bug terimakasih sudah membaca
Maulana Yusuf,5,2025-10-02 10:37:30,gem ini sangat cocok untuk saya,gem ini sangat cocok untuk saya
Raden Alwi,1,2025-10-02 10:33:44,manarik,manarik
Alfis nurhabibi,5,2025-10-02 10:32:47,guwe pernah ff max e malahan ff biasa,guwe pernah ff max e malahan ff biasa
Indonesia Raya,5,2025-10-02 10:32:47,Kamu bisa jadi Imlek dari hasil penelitian menunjukkan bahwa aku beli 1sx,kamu bisa jadi imlek dari hasil penelitian menunjukkan bahwa aku beli 1sx
Gsdhdhfhfjcjfj,5,2025-10-02 10:28:55,sangat bagus sekaliii,sangat bagus sekaliii
Arga Situmeang,5,2025-10-02 10:24:17,GARENA SAYA MAU SESUATU YAITU BANDEL YANG BAGUS GARENA SECARA GRATIS HGARENA PLIS,garena saya mau sesuatu yaitu bandel yang bagus garena secara gratis hgarena plis
Rangga Habsi,5,2025-10-02 10:21:36,baguss dan seru ayo segera donlot sekaranggg,baguss dan seru ayo segera donlot sekaranggg
Mania Marfel,1,2025-10-02 10:21:22,Game Kikir Garena pelit,game kikir garena pelit
Dontol Bule,5,2025-10-02 10:18:39,sangat seruh,sangat seruh
El Dirgam el rafif,5,2025-10-02 10:17:29,kasikan diamaon10000,kasikan diamaon10000
Sela Aulia,5,2025-10-02 10:13:58,bagus,bagus
Galuh TOR,1,2025-10-02 10:07:06,burik gak ada pintu,burik gak ada pintu
Muhsinin 1,5,2025-10-02 09:56:07,game nya seru,game nya seru
Salwa Nursaras,5,2025-10-02 09:56:06,"sumpah ga bohong game nya bagus banget ,,tapi kadang pas lagi war game nya nge lag suka bikin kesel juga anjir apalagi pas turun beh sakit hati bet ini mah capek² naikin rank ehh malah turun tapi gapapa ko walaupun gitu aku tetep suka sama ff elevyu ff👍🏻🗿🤸🏻‍♀","sumpah ga bohong game nya bagus banget ,,tapi kadang pas lagi war game nya nge lag suka bikin kesel juga anjir apalagi pas turun beh sakit hati bet ini mah capek² naikin rank ehh malah turun tapi gapapa ko walaupun gitu aku tetep suka sama ff elevyu ff👍🏻🗿🤸🏻‍♀"
Zohdi Akbar,5,2025-10-02 09:41:05,game ini bagus banget tapi ada bug nya tolong dong admin perbaiki lagi kalo udah di perbaiki kabarin ya,game ini bagus banget tapi ada bug nya tolong dong admin perbaiki lagi kalo udah di perbaiki kabarin ya
Nama Mana,5,2025-10-02 09:36:14,Karena game nya sangat seru,karena game nya sangat seru
Laurdent tamba,5,2025-10-02 09:31:25,sangat keren,sangat keren
Samsung Samsung04e,3,2025-10-02 09:23:53,karna bg buda tidak bisa main lagi garena babi,karna bg buda tidak bisa main lagi garena babi
Hezel Valensia,1,2025-10-02 09:15:31,min bang budi sampe pensi loh min kok gitu mimin nya,min bang budi sampe pensi loh min kok gitu mimin nya
AryaDF A6,1,2025-10-02 09:11:20,game aneh banyak bug sama ga bisa pakai skil,game aneh banyak bug sama ga bisa pakai skil
Pebri Ardianto,1,2025-10-02 09:08:56,aku bener bener kecewa sama Mimin salah satu panutanku dari dulu sampe sekarang di buat pensi sama Mimin kecewa banget gua sama Mimin mending aku pensi aja daripada kehilangan panutan ku,aku bener bener kecewa sama mimin salah satu panutanku dari dulu sampe sekarang di buat pensi sama mimin kecewa banget gua sama mimin mending aku pensi aja daripada kehilangan panutan ku
Ragna Ivander Darielle,5,2025-10-02 09:05:54,bagus sekali,bagus sekali
Makbar Fadilla,5,2025-10-02 09:05:02,"lumayan, tapi tolong lah garena bantuin akun aku hoki, dan aku dapat temen kayak drag sistem tolong adill plesss","lumayan, tapi tolong lah garena bantuin akun aku hoki, dan aku dapat temen kayak drag sistem tolong adill plesss"
Khairil Anwar,1,2025-10-02 09:03:51,ini kenapa min tiba tiba data ff saya ke hapus harus download ulang aku gak mau tau pokoknya kasih aku 10.000 DM min,ini kenapa min tiba tiba data ff saya ke hapus harus download ulang aku gak mau tau pokoknya kasih aku 10.000 dm min
darmi cibro82,2,2025-10-02 08:57:03,"min kok akun saya tiba-tiba saja tidak bisa masuk dan ada tulisan""gagal mendapatkan config versi : 3""itu bukan emoji ya min Memeng seperti itu yang muncul mohon perbaiki atau bantu aku saya min😭😭","min kok akun saya tiba-tiba saja tidak bisa masuk dan ada tulisan""gagal mendapatkan config versi : 3""itu bukan emoji ya min memeng seperti itu yang muncul mohon perbaiki atau bantu aku saya min😭😭"
Radit,5,2025-10-02 08:53:23,enak cuy,enak cuy
Son Aji,5,2025-10-02 08:52:33,karena. ffmax seru,karena. ffmax seru
Apip Pudin,5,2025-10-02 08:52:16,game nya sangat seru,game nya sangat seru
Ofurube Jahat,5,2025-10-02 08:51:12,kurangi bug dong,kurangi bug dong
alif andra,5,2025-10-02 08:48:59,akun baru,akun baru
Rizky GD,1,2025-10-02 08:44:57,napa si ngelag padahal sinyal kenceng banget kuota juga masih banyak anehhhh,napa si ngelag padahal sinyal kenceng banget kuota juga masih banyak anehhhh
Zum Khasanah,5,2025-10-02 08:42:42,min kuluarin rambut kakasih putih,min kuluarin rambut kakasih putih
Oppo Oppo F1s,5,2025-10-02 08:32:26,Enak di mainkan,enak di mainkan
Agam Agam,5,2025-10-02 08:30:22,sangat bagus dan seru tapi ada bug yang harus di perbaiki yaitu bug damage,sangat bagus dan seru tapi ada bug yang harus di perbaiki yaitu bug damage
Kenco Yaco,1,2025-10-02 08:28:35,dah bintang 1,dah bintang 1
Emmy Nurul HIDAYAH,5,2025-10-02 08:24:01,bisa bermain tembak tembakan,bisa bermain tembak tembakan
prasisma,5,2025-10-02 08:23:09,sangat bagus,sangat bagus
Aldo Firdauzy,1,2025-10-02 08:21:20,lawak,lawak
Diphda Ayyasy,5,2025-10-02 08:14:34,bagus,bagus
M holik Alpaujan,5,2025-10-02 08:13:45,ff dihati,ff dihati
Melisa Djurian,5,2025-10-02 08:06:18,enak di main bisa mabar juga,enak di main bisa mabar juga
Riyan Nyagilang,5,2025-10-02 08:01:35,iya,iya
Mochamad Azriel,5,2025-10-02 07:56:40,Gamenya bagus harga-harganya juga pada murah gak kaya mobile legend pada mahal mending fre fire gak bikin stres mobile legend mah kalah truss🥰🥰🥰,gamenya bagus harga-harganya juga pada murah gak kaya mobile legend pada mahal mending fre fire gak bikin stres mobile legend mah kalah truss🥰🥰🥰
Reza Alfa,5,2025-10-02 07:51:48,game bagus,game bagus
Iros Iros,5,2025-10-02 07:50:39,Seru,seru
Gon Opet,4,2025-10-02 07:50:27,ini harus nya di adakan mode offline kaya ml bisa nyoba skin apa aja sama bisa main walaupun computer supaya bisa ngalahin ml tolong garena atau develover nya baca plissss🙏🙏,ini harus nya di adakan mode offline kaya ml bisa nyoba skin apa aja sama bisa main walaupun computer supaya bisa ngalahin ml tolong garena atau develover nya baca plissss🙏🙏
Steven Dooff,2,2025-10-02 07:46:14,"setelah saya kembali memainkan game ini lagi saya merasa kecewa karna banyak bug yg merugikan player,banyak chiter yang gak di ban,jaringan yang harusnya bagus malah buruk,sistem cs rank yg tidak adil,karena musuh mendapatkan tim yg lebih pro/skilnya baik","setelah saya kembali memainkan game ini lagi saya merasa kecewa karna banyak bug yg merugikan player,banyak chiter yang gak di ban,jaringan yang harusnya bagus malah buruk,sistem cs rank yg tidak adil,karena musuh mendapatkan tim yg lebih pro/skilnya baik"
Rizky Apriansyah,5,2025-10-02 07:43:31,semoga hoki saat gacha di free fire,semoga hoki saat gacha di free fire
vera,5,2025-10-02 07:34:57,bgi dm gerena,bgi dm gerena
De Ni,5,2025-10-02 07:31:06,sekali lagi bagi diamond 100,sekali lagi bagi diamond 100
Igbal,1,2025-10-02 07:22:41,tolong bagus kan game ini bg budi 01 gaming knapa tidak bisa main rank memang game free fire burikkkkkkkkkk hapus aja tu game burikk iri ya garena liat bg budi main blodstrik,tolong bagus kan game ini bg budi 01 gaming knapa tidak bisa main rank memang game free fire burikkkkkkkkkk hapus aja tu game burikk iri ya garena liat bg budi main blodstrik
Theo putra,5,2025-10-02 07:16:48,berikan saya akun ff bagus kali plis,berikan saya akun ff bagus kali plis
Rafa Bayu,5,2025-10-02 07:14:21,game sudah bagus kerenn bgt (colab lagi dong min) 🗿🗿,game sudah bagus kerenn bgt (colab lagi dong min) 🗿🗿
Dafa Ibnu,5,2025-10-02 07:10:08,bagus ni,bagus ni
Epandimas Epanhrp,4,2025-10-02 07:10:03,👍,👍
Muhamad nasrullah Anas,5,2025-10-02 07:09:24,"“Game-nya seru banget, grafiknya ringan tapi keren, cocok buat HP dengan spek apa pun.” “Mode permainan bervariasi, nggak cepat bosan.” “Event dan hadiah selalu menarik, bikin semangat main terus.” “Kontrol mudah dipahami, cocok buat pemula maupun pro.” “Komunitas besar, gampang cari teman mabar.” Kekurangannya Bermuda remastered gak ada di RANKED","“game-nya seru banget, grafiknya ringan tapi keren, cocok buat hp dengan spek apa pun.” “mode permainan bervariasi, nggak cepat bosan.” “event dan hadiah selalu menarik, bikin semangat main terus.” “kontrol mudah dipahami, cocok buat pemula maupun pro.” “komunitas besar, gampang cari teman mabar.” kekurangannya bermuda remastered gak ada di ranked"
Alfaro Fathir,5,2025-10-02 07:04:43,game seru gw udah sultan main dari 2020,game seru gw udah sultan main dari 2020
zexy zex,1,2025-10-02 07:02:46,"dua tiga tutup botol ini game macam pentol ahahaha, game banyak bug paling bikin emosi bug damege tolong perbaiki atau kasih saya diamond 🗿","dua tiga tutup botol ini game macam pentol ahahaha, game banyak bug paling bikin emosi bug damege tolong perbaiki atau kasih saya diamond 🗿"
Adit Ainur,4,2025-10-02 06:42:05,bagus,bagus
